,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,Unnamed: 0_y,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change
64,64,2022-03-02,12.95,13.0,11.51,11.58,11.58,147527000,10.69,9.87,9.33,6.86,-0.0768566493955095,0.0154320987654319,-0.0126984126984126,-0.0171919770773638,2648.0,-0.0485126896657917,0.0464664313915704,0.0014463261881083,-0.0144249526964389
65,65,2022-03-03,11.49,11.51,10.614,10.69,10.69,70875700,10.0,9.41,9.77,6.86,-0.0645463049579045,-0.0466058763931103,0.0471596998928187,0.0,2649.0,-0.0856748745135624,-0.030134485426412,0.0222345761732284,0.0226160519120864
66,66,2022-03-04,10.642,11.01,9.92,10.0,10.0,63130700,9.62,8.55,9.12,6.66,-0.038,-0.0913921360255046,-0.0665301944728762,-0.0291545189504373,2650.0,-0.0774822348467363,-0.0861175850265586,-0.056582134363385,-0.038372623720716
67,67,2022-03-07,9.975,10.22,9.59,9.62,9.62,54287700,9.72,7.93,8.75,6.11,0.0103950103950105,-0.072514619883041,-0.0405701754385964,-0.0825825825825825,2653.0,0.0016788433916731,-0.0610410490483832,-0.0459409638556561,-0.0749409290770294
68,68,2022-03-08,9.51,10.089,9.28,9.72,9.72,50878200,9.87,8.2,8.12,5.94,0.0154320987654319,0.0340479192938207,-0.072,-0.027823240589198,2654.0,0.0464664313915704,0.0420848671836333,-0.0318539731818839,-0.0480556285212581
69,69,2022-03-09,9.96,10.09,9.645,9.87,9.87,53891100,9.41,8.57,7.87,5.61,-0.0466058763931103,0.0451219512195122,-0.0307881773399013,-0.0555555555555555,2655.0,-0.030134485426412,0.0867238971072588,-0.0223609855729011,-0.0842078994364286
70,70,2022-03-10,9.71,9.82,9.18,9.41,9.41,47638400,8.55,8.91,7.72,5.925,-0.0913921360255046,0.0396732788798133,-0.0190597204574333,0.0561497326203208,2656.0,-0.0861175850265586,0.0568371088686532,-0.0180773561527511,0.0105877943255933
71,71,2022-03-11,9.51,9.537,8.52,8.55,8.55,71568500,7.93,9.87,7.48,5.94,-0.072514619883041,0.1077441077441077,-0.0310880829015542,0.0025316455696202,2657.0,-0.0610410490483832,0.0680662870193639,-0.0217462082460023,0.018757882248407
72,72,2022-03-14,8.45,8.45,7.735,7.93,7.93,75632700,8.2,9.57,7.61,5.47,0.0340479192938207,-0.0303951367781154,0.0173796791443849,-0.0791245791245792,2660.0,0.0420848671836333,-0.0061331426482413,0.0253557922626586,-0.093327848651645
73,73,2022-03-15,7.96,8.29,7.79,8.2,8.2,52317400,8.57,9.72,7.26,5.7,0.0451219512195122,0.0156739811912225,-0.0459921156373194,0.0420475319926874,2661.0,0.0867238971072588,0.0212403349196433,-0.0506777635365207,0.0555154467210218
74,74,2022-03-16,8.08,8.76,8.05,8.57,8.57,84406700,8.91,9.37,7.13,5.72,0.0396732788798133,-0.036008230452675,-0.0179063360881542,0.0035087719298245,2662.0,0.0568371088686532,-0.0362841975157345,-0.0048800265337336,0.0319594496866609
75,75,2022-03-17,8.55,9.08,8.38,8.91,8.91,67654100,9.87,9.47,7.41,5.6,0.1077441077441077,0.0106723585912487,0.0392706872370267,-0.020979020979021,2663.0,0.0680662870193639,0.0026146914318361,0.04113162148689,-0.02612137413266
76,76,2022-03-18,8.92,9.975,8.82,9.87,9.87,66667100,9.57,9.01,6.95,5.78,-0.0303951367781154,-0.0485744456177402,-0.0620782726045884,0.0321428571428572,2664.0,-0.0061331426482413,-0.0477611488624104,-0.0490778255543188,0.0422030088082906
77,77,2022-03-21,9.82,9.93,9.33,9.57,9.57,39791700,9.72,9.25,6.6,6.13,0.0156739811912225,0.0266370699223086,-0.0503597122302158,0.060553633217993,2667.0,0.0212403349196433,0.0237974618086237,-0.0469445997226808,0.0439718759133918
78,78,2022-03-22,9.56,10.06,9.25,9.72,9.72,56998400,9.37,10.14,6.39,5.93,-0.036008230452675,0.0962162162162163,-0.0318181818181818,-0.032626427406199,2668.0,-0.0362841975157345,0.0878861881954307,-0.0291622458205541,0.0004906151417411
79,79,2022-03-23,9.6,9.78,9.325,9.37,9.37,38946300,9.47,9.77,6.55,5.56,0.0106723585912487,-0.0364891518737673,0.0250391236306728,-0.0623946037099494,2669.0,0.0026146914318361,-0.0362838726277156,0.0491707128421928,-0.0552360761665446
