,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
Delinq 120+,,0.17,0.23,0.37,0.17,0.11,0.09,0.04,0.15,0.06,0.11,0.24,0.18,0.07,0.23,0.22,0.12,0.12,0.14,0.15,0.19,0.10,0.13,0.17,0.13,0.08,0.12,0.09,0.03,0.00,0.00,0.00,-
Bankrupt,,0.00,0.00,0.00,0.03,0.05,0.05,0.03,0.01,0.02,0.05,0.07,0.06,0.05,0.02,0.00,0.07,0.18,0.15,0.09,0.10,0.11,0.07,0.08,0.13,0.09,0.02,0.05,0.08,0.04,0.02,0.00,-
Accum Prin Recovery Amt,,"1,674,467.90","1,660,670.87","1,533,957.75","1,439,707.51","1,399,060.51","1,362,132.94","1,286,981.97","1,224,439.61","1,175,316.10","1,150,658.84","1,063,810.30","1,016,723.39","899,084.44","850,969.77","742,616.92","669,972.94","611,908.23","513,469.65","416,839.88","352,987.21","302,455.96","224,718.56","151,203.07","124,351.37","94,730.36","35,541.52",0.00,0.00,0.00,0.00,0.00,-
Accum Net Loss%,,2.94,2.89,2.83,2.79,2.75,2.70,2.69,2.60,2.56,2.47,2.37,2.28,2.25,2.12,2.04,1.96,1.78,1.66,1.48,1.27,1.13,1.00,0.82,0.60,0.47,0.34,0.18,0.06,0.01,0.01,0.00,-
Annualized Net Loss Rate,,3.78,4.43,2.30,2.61,2.66,0.47,4.21,1.82,3.47,3.81,3.08,1.11,4.06,2.23,2.11,4.22,2.76,3.92,4.28,2.66,2.43,3.15,3.84,1.99,1.99,2.29,1.68,0.63,0.07,0.12,0.00,-
1mo Severity,,93.50,66.67,60.31,81.17,84.03,33.35,85.21,77.43,93.34,82.34,88.21,53.77,91.81,74.70,81.58,92.24,82.99,88.24,92.91,91.58,87.13,90.70,97.15,94.38,89.78,94.66,100.00,100.00,100.00,100.00,0.00,-
3mo Severity,,71.71,68.61,74.90,72.73,77.23,75.20,86.51,85.12,87.43,78.04,82.85,78.42,83.75,84.78,86.69,88.22,88.75,90.91,90.87,89.88,92.38,94.25,94.35,92.98,94.52,97.34,100.00,100.00,100.00,-,-,-
6mo Severity,,72.12,72.74,75.06,81.60,81.84,82.85,82.01,83.91,82.91,81.19,83.93,83.18,86.45,87.14,89.11,89.53,89.27,91.65,92.62,92.15,92.64,94.37,95.54,94.96,95.21,97.46,-,-,-,-,-,-
12mo Severity,,78.13,79.35,80.06,81.35,83.10,83.05,84.77,85.93,86.72,86.40,87.16,88.34,89.85,89.70,90.89,91.87,92.03,92.79,93.43,93.51,-,-,-,-,-,-,-,-,-,-,-,-
Life Severity,,87.55,87.45,88.07,88.59,88.72,88.81,89.33,89.48,89.70,89.58,89.92,89.99,90.92,90.86,91.64,92.11,92.10,92.83,93.43,93.51,93.75,94.70,95.61,95.03,95.21,97.46,100.00,100.00,100.00,100.00,0.00,-
